Question ID,Related question ID
5341,6442
5765,6442
2859,4912
5466,6567
2886,6567
5890,6567
4890,6567
3341,4901
5474,4898
5898,4898
2971,4898
6575,4898
5519,6711
6034,6711
5620,6721
6044,6721
3084,4661
4782,2975
4761,2268
4817,2881
5434,2881
5858,2881
6535,2881
5185,3172
4767,2357
5397,2357
5821,2357
6498,2357
2232,4669
5272,6375
5698,6375
4867,6564
5463,6564
5887,6564
2854,6564
5275,6378
5701,6378
5281,6382
5705,6382
5325,6426
5749,6426
4677,2323
4741,2291
4746,2276
5319,2276
5743,2276
6420,2276
4725,2273
4776,2868
6293,2868
6228,2868
6294,2868
6229,2868
4765,2326
5214,3149
4870,3180
5201,3176
5215,3155
4717,2257
5207,3125
5072,2987
5047,2996
5079,3018
5338,6439
5762,6439
2272,4674
4850,3237
4729,2347
5646,2347
6070,2347
6747,2347
4651,2330
5657,2330
5230,2330
6334,2330
5060,3000
4798,2855
5226,3145
4881,2853
4828,2919
5444,2919
5868,2919
6545,2919
5335,6436
5759,6436
5194,3178
4674,2272
4703,2292
4702,2368
5626,2368
6050,2368
6727,2368
5174,3492
6599,2890
5498,2890
5922,2890
4954,2890
5175,3158
4984,3480
4990,3483
5196,3153
4654,2316
5227,3136
4829,2941
5445,2941
5869,2941
6546,2941
4745,2265
5318,2265
5742,2265
6419,2265
5181,3148
4655,2271
5186,3177
4694,2310
4985,3477
5016,3469
4827,2893
4950,2845
5017,3472
5466,4890
2886,4890
5890,4890
6567,4890
3150,5229
5639,3169
6063,3169
5188,3169
6740,3169
5025,3452
4788,2864
4795,2981
5414,2981
5838,2981
6515,2981
5056,3014
5221,3126
5224,3157
5332,6433
5756,6433
2268,4761
5329,6430
5753,6430
6656,4763
5564,4763
5979,4763
2246,4763
5326,6427
5750,6427
2326,4765
5397,4767
2357,4767
5821,4767
6498,4767
2368,4702
5626,4702
6050,4702
6727,4702
5653,6754
6077,6754
4746,6420
5319,6420
2276,6420
5743,6420
5314,6415
5738,6415
5315,6416
5739,6416
2353,4710
3029,5162
5509,6610
5933,6610
5295,6396
5719,6396
5293,6394
5717,6394
5291,6392
5715,6392
5289,6390
5713,6390
5287,6388
5711,6388
5285,6386
5709,6386
5280,6381
5704,6381
5498,6599
2890,6599
5922,6599
4954,6599
5517,6618
5941,6618
2323,4677
5182,3161
5271,6374
5697,6374
2908,4777
5657,4651
5230,4651
2330,4651
6334,4651
2868,4776
6293,4776
6228,4776
6294,4776
6229,4776
2975,4782
5501,6602
5925,6602
5248,6352
5675,6352
2914,4781
4859,6556
5455,6556
5879,6556
3301,6556
2271,4655
5269,6372
5695,6372
5264,6367
5690,6367
5265,6368
5691,6368
5261,6364
5687,6364
5414,4795
5838,4795
2981,4795
6515,4795
2855,4798
2316,4654
5259,6362
5685,6362
5255,6359
5682,6359
5253,6357
5680,6357
3103,5133
4828,6545
5444,6545
2919,6545
5868,6545
4829,6546
5445,6546
5869,6546
2941,6546
4822,6540
5439,6540
5863,6540
2961,6540
5249,6353
5676,6353
2234,4685
5250,6354
5677,6354
5247,6351
5674,6351
5244,6348
5671,6348
5241,6345
5668,6345
2857,4810
5426,4810
5850,4810
6527,4810
2310,4694
5666,6343
5239,6343
5424,4809
5848,4809
2951,4809
6525,4809
2257,4717
5236,6340
5663,6340
5432,4815
5856,4815
2851,4815
6533,4815
5434,4817
2881,4817
5858,4817
6535,4817
5499,6600
5923,6600
5237,6341
5664,6341
4817,6535
5434,6535
2881,6535
5858,6535
5233,6337
5660,6337
4651,6334
5657,6334
5230,6334
2330,6334
5439,4822
5863,4822
2961,4822
6540,4822
4815,6533
5432,6533
5856,6533
2851,6533
4730,6748
5647,6748
6071,6748
2253,6748
5648,6749
6072,6749
5645,6746
6069,6746
5638,6739
6062,6739
5445,4829
5869,4829
2941,4829
6546,4829
3157,5224
5639,6740
6063,6740
3169,6740
5188,6740
5635,6736
6059,6736
5631,6732
6055,6732
5632,6733
6056,6733
3166,5220
5529,6621
5944,6621
2235,4686
5619,6720
6043,6720
3019,5081
3018,5079
3263,4839
3126,5221
3145,5226
3136,5227
3149,5214
3155,5215
3125,5207
3153,5196
3178,5194
3237,4850
2273,4725
5639,5188
6063,5188
3169,5188
6740,5188
3177,5186
3172,5185
3148,5181
4733,2287
5496,6597
5920,6597
5410,6511
5834,6511
3161,5182
5455,4859
5879,4859
3301,4859
6556,4859
5408,6509
5832,6509
3158,5175
3492,5174
3072,5171
3090,5155
6714,5155
5522,5155
6037,5155
3101,5153
5444,4828
2919,4828
5868,4828
6545,4828
5463,4867
5887,4867
2854,4867
6564,4867
5647,4730
6071,4730
2253,4730
6748,4730
3180,4870
5488,6589
5912,6589
3271,6589
4942,6589
3105,5144
3102,5123
3120,5121
3351,5089
3028,5077
2987,5072
3000,5060
3016,5046
2853,4881
2287,4733
3014,5056
5396,6497
5820,6497
4766,6497
2307,6497
2996,5047
5466,2886
5890,2886
4890,2886
6567,2886
4767,6498
5397,6498
2357,6498
5821,6498
3005,5048
5528,6620
5943,6620
2361,4698
5549,6641
5964,6641
5348,6449
5772,6449
3435,5033
3452,5025
5627,6728
6051,6728
5555,6647
5970,6647
5391,6492
5815,6492
5558,6650
5973,6650
3176,5201
3469,5016
3472,5017
4763,6656
5564,6656
5979,6656
2246,6656
5379,6480
5803,6480
5567,6659
5982,6659
5377,6478
5801,6478
3446,5003
3427,4996
5572,6664
5987,6664
3483,4990
5563,6655
5978,6655
4762,6655
2263,6655
5574,6666
5989,6666
5576,6668
5991,6668
5372,6473
5796,6473
3480,4984
3477,4985
2248,4689
6599,4954
5498,4954
2890,4954
5922,4954
5367,6468
5791,6468
5582,6674
5997,6674
2291,4741
5585,6677
6000,6677
2952,4965
2973,4957
2928,4955
2893,4827
2845,4950
5488,4942
5912,4942
3271,4942
6589,4942
3291,4934
4689,2248
5485,6586
5909,6586
4920,6586
3209,6586
5365,6466
5789,6466
4730,2253
5647,2253
6071,2253
6748,2253
2347,4729
5646,4729
6070,4729
6747,4729
4781,2914
4809,2951
5424,2951
5848,2951
6525,2951
4955,2928
5590,6682
6005,6682
4698,2361
4763,2246
6656,2246
5564,2246
5979,2246
5592,6684
6007,6684
5598,6690
6013,6690
5319,4746
2276,4746
5743,4746
6420,4746
4753,2279
4710,2353
4923,3244
5485,3209
